S01,1,1,q,3.3106764999999996,3,105
S01,1,2,q,1.1996954159999405,3,9
S01,1,3,q,1.2348165419998622,3,19
S01,1,4,p,2.7853454159999274,3,113
S01,1,5,q,1.5228758329999437,2,47
S01,1,6,q,1.022793374999992,1,27
S01,1,7,p,3.4563937079999505,3,112
S01,1,8,q,1.1464144589999705,3,11
S01,1,9,q,0.8669940830000087,3,71
S01,1,10,p,3.6850063330000467,1,14
S01,1,11,q,0.8362628750001022,3,2
S01,1,12,p,4.600469833000034,3,124
S01,1,13,p,4.620520292000037,3,16
S01,1,14,q,5.192163791999974,3,29
S01,1,15,p,1.4657933749999756,3,104
S01,1,16,p,1.5647147910001422,3,17
S01,1,17,p,7.982841207999854,2,144
S01,1,18,q,1.154299250000122,2,41
S01,1,19,q,5.473984833000031,1,67
S01,1,20,q,2.029944207999961,1,82
S01,1,21,q,1.0580527090000942,1,39
S01,1,22,p,6.18162370899995,2,18
S01,1,23,p,4.331021499999906,1,151
S01,1,24,q,1.0539914999999382,2,81
S01,1,25,q,3.7812725000001137,1,7
S01,1,26,q,1.6159175420000338,3,125
S01,1,27,p,2.9892901249997976,2,108
S01,1,28,q,1.4396845829999165,2,25
S01,1,29,p,5.210253708999971,2,117
S01,1,30,q,0.9717683749997832,1,146
S01,1,31,p,4.025951708999855,2,73
S01,1,32,q,4.105748292000044,2,97
S01,1,33,q,7.066803290999815,3,26
S01,1,34,p,1.5832121250000455,3,23
S01,1,35,q,1.7096712089999073,3,77
S01,1,36,q,3.446488416999955,3,10
S01,1,37,q,1.3254002500000297,3,95
S01,1,38,p,4.523881249999931,3,30
S01,1,39,q,4.133117749999883,2,107
S01,1,40,p,1.705774166000083,3,110
S01,1,41,p,6.419176582999853,2,12
S01,1,42,p,1.1316603330001271,2,21
S01,1,43,p,4.854147624999996,2,22
S01,1,44,q,4.36185020899984,3,87
S01,1,45,p,5.239031833000126,1,20
S01,1,46,p,1.5111770000000888,3,126
S01,1,47,q,4.022430459000134,3,136
S01,1,48,p,6.13994833300012,2,4
S01,1,49,q,6.887082792000001,1,111
S01,1,50,p,5.1454042080004,1,78
S01,1,51,p,6.4693174590001945,1,28
S01,1,52,q,1.042677249999997,3,50
S01,1,53,p,4.441406708000159,1,131
S01,1,54,p,3.3098167920002197,3,114
S01,1,55,p,3.241980166999838,2,32
S01,1,56,q,1.1169052919999558,3,68
S01,1,57,q,1.0057376660001864,1,1
S01,1,58,q,4.401983458000359,2,13
S01,1,59,p,6.9021103749996655,1,106
S01,1,60,p,1.3955837090002206,1,109
